Chrom	Start	End	Strand	H37rv_GeneID	Symbol	Feature	Functional_Category	Is_Pseudogene	Product	PEandPPE_Subfamily	ExcludedGroup_Category
NC_000962.3	554015	554309	+	Rv0463	Rv0463	CDS	cell wall and cell processes	No	Probable conserved membrane protein	None	NotExcluded
NC_000962.3	554312	554885	-	Rv0464c	Rv0464c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	554881	556306	-	Rv0465c	Rv0465c	CDS	regulatory proteins	No	Probable transcriptional regulatory protein	None	NotExcluded
NC_000962.3	556457	557252	+	Rv0466	Rv0466	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	557526	558813	+	Rv0467	icl1	CDS	intermediary metabolism and respiration	No	Isocitrate lyase Icl (isocitrase) (isocitratase)	None	NotExcluded
NC_000962.3	558894	559755	+	Rv0468	fadB2	CDS	lipid metabolism	No	3-hydroxybutyryl-CoA dehydrogenase FadB2 (beta-hydroxybutyryl-CoA dehydrogenase) (BHBD)	None	NotExcluded
NC_000962.3	559887	560748	+	Rv0469	umaA	CDS	lipid metabolism	No	Possible mycolic acid synthase UmaA	None	NotExcluded
NC_000962.3	560847	561711	-	Rv0470c	pcaA	CDS	lipid metabolism	No	Mycolic acid synthase PcaA (cyclopropane synthase)	None	NotExcluded
NC_000962.3	561853	562294	-	Rv0470A	Rv0470A	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	562224	562713	-	Rv0471c	Rv0471c	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	562722	563427	-	Rv0472c	Rv0472c	CDS	regulatory proteins	No	Probable transcriptional regulatory protein (possibly TetR-family)	None	NotExcluded
NC_000962.3	563563	564934	+	Rv0473	Rv0473	CDS	cell wall and cell processes	No	Possible conserved transmembrane protein	None	NotExcluded
NC_000962.3	565020	565443	+	Rv0474	Rv0474	CDS	regulatory proteins	No	Probable transcriptional regulatory protein	None	NotExcluded
NC_000962.3	565796	566396	+	Rv0475	hbhA	CDS	cell wall and cell processes	No	Iron-regulated heparin binding hemagglutinin HbhA (adhesin)	None	NotExcluded
NC_000962.3	566507	566771	+	Rv0476	Rv0476	CDS	cell wall and cell processes	No	Possible conserved transmembrane protein	None	NotExcluded
NC_000962.3	566775	567222	+	Rv0477	Rv0477	CDS	cell wall and cell processes	No	Possible conserved secreted protein	None	NotExcluded
NC_000962.3	567221	567896	+	Rv0478	deoC	CDS	intermediary metabolism and respiration	No	Probable deoxyribose-phosphate aldolase DeoC (phosphodeoxyriboaldolase) (deoxyriboaldolase)	None	NotExcluded
NC_000962.3	567920	568967	-	Rv0479c	Rv0479c	CDS	cell wall and cell processes	No	Probable conserved membrane protein	None	NotExcluded
NC_000962.3	568963	569806	-	Rv0480c	Rv0480c	CDS	intermediary metabolism and respiration	No	Possible amidohydrolase	None	NotExcluded
NC_000962.3	569987	570512	-	Rv0481c	Rv0481c	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	570538	571648	+	Rv0482	murB	CDS	cell wall and cell processes	No	Probable UDP-N-acetylenolpyruvoylglucosamine reductase MurB (UDP-N-acetylmuramate dehydrogenase)	None	NotExcluded
NC_000962.3	571709	573065	+	Rv0483	lprQ	CDS	cell wall and cell processes	No	Probable conserved lipoprotein LprQ	None	NotExcluded
NC_000962.3	573045	573801	-	Rv0484c	Rv0484c	CDS	intermediary metabolism and respiration	No	Probable short-chain type oxidoreductase	None	NotExcluded
NC_000962.3	573983	575300	+	Rv0485	Rv0485	CDS	regulatory proteins	No	Possible transcriptional regulatory protein	None	NotExcluded
NC_000962.3	575347	576790	+	Rv0486	mshA	CDS	intermediary metabolism and respiration	No	Glycosyltransferase MshA	None	NotExcluded
NC_000962.3	576786	577338	+	Rv0487	Rv0487	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	Coscolla Repetitive Genes
NC_000962.3	577663	578269	+	Rv0488	Rv0488	CDS	cell wall and cell processes	No	Probable conserved integral membrane protein	None	NotExcluded
NC_000962.3	578425	579175	+	Rv0489	gpm1	CDS	intermediary metabolism and respiration	No	Probable phosphoglycerate mutase 1 Gpm1 (phosphoglyceromutase) (PGAM) (BPG-dependent PGAM)	None	NotExcluded
NC_000962.3	579348	580581	+	Rv0490	senX3	CDS	regulatory proteins	No	Putative two component sensor histidine kinase SenX3	None	Coscolla Repetitive Genes
NC_000962.3	580808	581492	+	Rv0491	regX3	CDS	regulatory proteins	No	Two component sensory transduction protein RegX3 (transcriptional regulatory protein) (probably LuxR-family)	None	NotExcluded
NC_000962.3	581488	583378	-	Rv0492c	Rv0492c	CDS	intermediary metabolism and respiration	No	Probable oxidoreductase GMC-type	None	NotExcluded
NC_000962.3	583374	583704	-	Rv0492A	Rv0492A	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	583700	584690	-	Rv0493c	Rv0493c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	584694	585423	+	Rv0494	Rv0494	CDS	regulatory proteins	No	Probable transcriptional regulatory protein (probably GntR-family)	None	NotExcluded
NC_000962.3	585423	586314	-	Rv0495c	Rv0495c	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	586393	587380	+	Rv0496	Rv0496	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	587376	588309	+	Rv0497	Rv0497	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	588324	589167	+	Rv0498	Rv0498	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	589182	590058	+	Rv0499	Rv0499	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	590082	590970	+	Rv0500	proC	CDS	intermediary metabolism and respiration	No	Probable pyrroline-5-carboxylate reductase ProC (P5CR) (P5C reductase)	None	NotExcluded
NC_000962.3	591110	591347	+	Rv0500A	Rv0500A	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	591474	591576	+	Rv0500B	Rv0500B	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	591653	592784	+	Rv0501	galE2	CDS	intermediary metabolism and respiration	No	Possible UDP-glucose 4-epimerase GalE2 (galactowaldenase) (UDP-galactose 4-epimerase) (uridine diphosphate galactose 4-epimerase) (uridine diphospho-galactose 4-epimerase)	None	NotExcluded
NC_000962.3	592790	593867	+	Rv0502	Rv0502	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	593870	594779	-	Rv0503c	cmaA2	CDS	lipid metabolism	No	Cyclopropane-fatty-acyl-phospholipid synthase 2 CmaA2 (cyclopropane fatty acid synthase) (CFA synthase) (cyclopropane mycolic acid synthase 2) (mycolic acid trans-cyclopropane synthetase)	None	NotExcluded
NC_000962.3	594801	595302	-	Rv0504c	Rv0504c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	595463	596585	-	Rv0505c	serB1	CDS	intermediary metabolism and respiration	No	Possible phosphoserine phosphatase SerB1 (PSP) (O-phosphoserine phosphohydrolase) (pspase)	None	NotExcluded
NC_000962.3	596758	597202	+	Rv0506	mmpS2	CDS	cell wall and cell processes	No	Probable conserved membrane protein MmpS2	None	NotExcluded
NC_000962.3	597198	600105	+	Rv0507	mmpL2	CDS	cell wall and cell processes	No	Probable conserved transmembrane transport protein MmpL2	None	NotExcluded
NC_000962.3	600097	600391	+	Rv0508	Rv0508	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	600440	601847	+	Rv0509	hemA	CDS	intermediary metabolism and respiration	No	Probable glutamyl-tRNA reductase HemA (GLUTR)	None	NotExcluded
NC_000962.3	601856	602786	+	Rv0510	hemC	CDS	intermediary metabolism and respiration	No	Probable porphobilinogen deaminase HemC (PBG) (hydroxymethylbilane synthase) (HMBS) (pre-uroporphyrinogen synthase)	None	NotExcluded
NC_000962.3	602818	604516	+	Rv0511	hemD	CDS	intermediary metabolism and respiration	No	Probable uroporphyrin-III C-methyltransferase HemD (uroporphyrinogen III methylase) (urogen III methylase) (SUMT) (urogen III methylase) (UROM)	None	NotExcluded
NC_000962.3	604601	605591	+	Rv0512	hemB	CDS	intermediary metabolism and respiration	No	Probable delta-aminolevulinic acid dehydratase HemB (porphobilinogen synthase) (ALAD) (ALADH)	None	NotExcluded
NC_000962.3	605603	606152	+	Rv0513	Rv0513	CDS	cell wall and cell processes	No	Possible conserved transmembrane protein	None	NotExcluded
NC_000962.3	606148	606448	+	Rv0514	Rv0514	CDS	cell wall and cell processes	No	Possible transmembrane protein	None	NotExcluded
NC_000962.3	606550	608062	+	Rv0515	Rv0515	CDS	insertion seqs and phages	No	Conserved 13E12 repeat family protein	None	InsertionSeqs_And_Phages
NC_000962.3	608058	608535	-	Rv0516c	Rv0516c	CDS	information pathways	No	Possible anti-anti-sigma factor	None	NotExcluded
NC_000962.3	608745	610056	+	Rv0517	Rv0517	CDS	intermediary metabolism and respiration	No	Possible membrane acyltransferase	None	NotExcluded
NC_000962.3	610187	610883	+	Rv0518	Rv0518	CDS	cell wall and cell processes	No	Possible exported protein	None	NotExcluded
NC_000962.3	611171	612074	-	Rv0519c	Rv0519c	CDS	cell wall and cell processes	No	Possible conserved membrane protein	None	NotExcluded
NC_000962.3	612254	612605	+	Rv0520	Rv0520	CDS	intermediary metabolism and respiration	No	Possible methyltransferase/methylase (fragment)	None	NotExcluded
NC_000962.3	612597	612903	+	Rv0521	Rv0521	CDS	intermediary metabolism and respiration	No	Possible methyltransferase/methylase (fragment)	None	NotExcluded
NC_000962.3	613037	614342	+	Rv0522	gabP	CDS	cell wall and cell processes	No	Probable GABA permease GabP (4-amino butyrate transport carrier) (GAMA-aminobutyrate permease)	None	NotExcluded
NC_000962.3	614325	614721	-	Rv0523c	Rv0523c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	614834	616223	+	Rv0524	hemL	CDS	intermediary metabolism and respiration	No	Probable glutamate-1-semialdehyde 2,1-aminomutase HemL (GSA) (glutamate-1-semialdehyde aminotransferase) (GSA-at)	None	NotExcluded
NC_000962.3	616222	616831	+	Rv0525	Rv0525	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	616845	617496	+	Rv0526	Rv0526	CDS	intermediary metabolism and respiration	No	Possible thioredoxin protein (thiol-disulfide interchange protein)	None	NotExcluded
NC_000962.3	617492	618272	+	Rv0527	ccdA	CDS	intermediary metabolism and respiration	No	Possible cytochrome C-type biogenesis protein CcdA	None	NotExcluded
NC_000962.3	618304	619894	+	Rv0528	Rv0528	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	619890	620865	+	Rv0529	ccsA	CDS	intermediary metabolism and respiration	No	Possible cytochrome C-type biogenesis protein CcsA	None	NotExcluded
NC_000962.3	620906	622124	+	Rv0530	Rv0530	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	622120	622282	-	Rv0530A	Rv0530A	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	622328	622646	+	Rv0531	Rv0531	CDS	cell wall and cell processes	No	Possible conserved membrane protein	None	NotExcluded
NC_000962.3	622792	624577	+	Rv0532	PE_PGRS6	CDS	PE/PPE	No	PE-PGRS family protein PE_PGRS6	PE_V_PGRS	PE/PPEs
NC_000962.3	624472	625480	-	Rv0533c	fabH	CDS	lipid metabolism	No	3-oxoacyl-[acyl-carrier-protein] synthase III FabH (beta-ketoacyl-ACP synthase III) (KAS III)	None	NotExcluded
NC_000962.3	625561	626440	-	Rv0534c	menA	CDS	intermediary metabolism and respiration	No	1,4-dihydroxy-2-naphthoate octaprenyltransferase MenA (DHNA-octaprenyltransferase)	None	NotExcluded
NC_000962.3	626456	627251	+	Rv0535	pnp	CDS	intermediary metabolism and respiration	No	Probable 5'-methylthioadenosine phosphorylase Pnp (MTA phosphorylase)	None	NotExcluded
NC_000962.3	627247	628288	+	Rv0536	galE3	CDS	intermediary metabolism and respiration	No	Probable UDP-glucose 4-epimerase GalE3 (galactowaldenase) (UDP-galactose 4-epimerase) (uridine diphosphate galactose 4-epimerase) (uridine diphospho-galactose 4-epimerase)	None	NotExcluded
NC_000962.3	628297	629731	-	Rv0537c	Rv0537c	CDS	cell wall and cell processes	No	Probable integral membrane protein	None	NotExcluded
NC_000962.3	630039	631686	+	Rv0538	Rv0538	CDS	cell wall and cell processes	No	Possible conserved membrane protein	None	Coscolla Repetitive Genes
NC_000962.3	631742	632375	+	Rv0539	Rv0539	CDS	intermediary metabolism and respiration	No	Probable dolichyl-phosphate sugar synthase (dolichol-phosphate sugar synthetase) (dolichol-phosphate sugar transferase) (sugar phosphoryldolichol synthase)	None	NotExcluded
NC_000962.3	632371	633034	+	Rv0540	Rv0540	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	633054	634404	-	Rv0541c	Rv0541c	CDS	cell wall and cell processes	No	Probable conserved integral membrane protein	None	NotExcluded
NC_000962.3	634415	635504	-	Rv0542c	menE	CDS	intermediary metabolism and respiration	No	Possible O-succinylbenzoic acid--CoA ligase MenE (OSB-CoA synthetase) (O-succinylbenzoate-CoA synthase)	None	NotExcluded
NC_000962.3	635572	635875	-	Rv0543c	Rv0543c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	635934	636213	-	Rv0544c	Rv0544c	CDS	cell wall and cell processes	No	Possible conserved transmembrane protein	None	NotExcluded
NC_000962.3	636209	637463	-	Rv0545c	pitA	CDS	cell wall and cell processes	No	Probable low-affinity inorganic phosphate transporter integral membrane protein PitA	None	NotExcluded
NC_000962.3	637582	637969	-	Rv0546c	Rv0546c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	638031	638916	-	Rv0547c	Rv0547c	CDS	intermediary metabolism and respiration	No	Possible oxidoreductase	None	NotExcluded
NC_000962.3	639011	639956	-	Rv0548c	menB	CDS	intermediary metabolism and respiration	No	Naphthoate synthase MenB (dihydroxynaphthoic acid synthetase) (DHNA synthetase)	None	NotExcluded
NC_000962.3	640227	640641	-	Rv0549c	vapC3	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC3	None	NotExcluded
NC_000962.3	640637	640904	-	Rv0550c	vapB3	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB3	None	NotExcluded
NC_000962.3	641095	642811	-	Rv0551c	fadD8	CDS	lipid metabolism	No	Probable fatty-acid-CoA ligase FadD8 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	None	NotExcluded
NC_000962.3	642888	644493	+	Rv0552	Rv0552	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	644489	645470	+	Rv0553	menC	CDS	intermediary metabolism and respiration	No	Probable muconate cycloisomerase MenC (cis,cis-muconate lactonizing enzyme) (MLE)	None	NotExcluded
NC_000962.3	645466	646255	+	Rv0554	bpoC	CDS	virulence, detoxification, adaptation	No	Possible peroxidase BpoC (non-haem peroxidase)	None	NotExcluded
NC_000962.3	646297	647962	+	Rv0555	menD	CDS	intermediary metabolism and respiration	No	Probable bifunctional menaquinone biosynthesis protein MenD : 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) + 2-oxoglutarate decarboxylase (alpha- ketoglutarate decarboxylase) (KDC)	None	NotExcluded
NC_000962.3	647958	648474	+	Rv0556	Rv0556	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	648535	649672	+	Rv0557	mgtA	CDS	lipid metabolism	No	Mannosyltransferase MgtA	None	NotExcluded
NC_000962.3	649688	650393	+	Rv0558	menH	CDS	intermediary metabolism and respiration	No	Probable ubiquinone/menaquinone biosynthesis methyltransferase MenH (2-heptaprenyl-1,4-naphthoquinone methyltransferase)	None	NotExcluded
NC_000962.3	650406	650745	-	Rv0559c	Rv0559c	CDS	cell wall and cell processes	No	Possible conserved secreted protein	None	NotExcluded
NC_000962.3	650778	651504	-	Rv0560c	Rv0560c	CDS	intermediary metabolism and respiration	No	Possible benzoquinone methyltransferase (methylase)	None	NotExcluded
NC_000962.3	651528	652755	-	Rv0561c	Rv0561c	CDS	intermediary metabolism and respiration	No	Possible oxidoreductase	None	NotExcluded
NC_000962.3	652770	653778	+	Rv0562	grcC1	CDS	intermediary metabolism and respiration	No	Probable polyprenyl-diphosphate synthase GrcC1 (polyprenyl pyrophosphate synthetase)	None	NotExcluded
NC_000962.3	653878	654739	+	Rv0563	htpX	CDS	virulence, detoxification, adaptation	No	Probable protease transmembrane protein heat shock protein HtpX	None	NotExcluded
NC_000962.3	654923	655949	-	Rv0564c	gpdA1	CDS	lipid metabolism	No	Probable glycerol-3-phosphate dehydrogenase [NAD(P)+] GpdA1 (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase)	None	NotExcluded
NC_000962.3	656009	657470	-	Rv0565c	Rv0565c	CDS	intermediary metabolism and respiration	No	Probable monooxygenase	None	NotExcluded
NC_000962.3	657547	658039	-	Rv0566c	Rv0566c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	658108	658189	+	MTB000005	tyrT	tRNA	stable RNAs	No	tRNA-Tyr (GTA)	None	NotExcluded
NC_000962.3	658320	659340	+	Rv0567	Rv0567	CDS	intermediary metabolism and respiration	No	Probable methyltransferase/methylase	None	NotExcluded
NC_000962.3	659449	660868	+	Rv0568	cyp135B1	CDS	intermediary metabolism and respiration	No	Possible cytochrome P450 135B1 Cyp135B1	None	NotExcluded
NC_000962.3	661002	661269	+	Rv0569	Rv0569	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	661294	663373	+	Rv0570	nrdZ	CDS	information pathways	No	Probable ribonucleoside-diphosphate reductase (large subunit) NrdZ (ribonucleotide reductase)	None	NotExcluded
NC_000962.3	663486	664818	-	Rv0571c	Rv0571c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	665041	665383	-	Rv0572c	Rv0572c	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	665850	667242	-	Rv0573c	pncB2	CDS	intermediary metabolism and respiration	No	Nicotinic acid phosphoribosyltransferase PncB2	None	NotExcluded
NC_000962.3	667251	668394	-	Rv0574c	Rv0574c	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	668578	669745	-	Rv0575c	Rv0575c	CDS	intermediary metabolism and respiration	No	Possible oxidoreductase	None	NotExcluded
NC_000962.3	669847	671152	+	Rv0576	Rv0576	CDS	regulatory proteins	No	Probable transcriptional regulatory protein (possibly ArsR-family)	None	NotExcluded
NC_000962.3	671165	671951	+	Rv0577	TB27.3	CDS	conserved hypotheticals	No	Conserved protein TB27.3	None	NotExcluded
NC_000962.3	671995	675916	-	Rv0578c	PE_PGRS7	CDS	PE/PPE	No	PE-PGRS family protein PE_PGRS7	PE_V_PGRS	PE/PPEs
NC_000962.3	676237	676996	+	Rv0579	Rv0579	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	677124	677616	-	Rv0580c	Rv0580c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	677709	677925	+	Rv0581	vapB26	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB26	None	NotExcluded
NC_000962.3	677921	678329	+	Rv0582	vapC26	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC26. Contains PIN domain.	None	NotExcluded
NC_000962.3	678388	679075	-	Rv0583c	lpqN	CDS	cell wall and cell processes	No	Probable conserved lipoprotein LpqN	None	NotExcluded
NC_000962.3	679228	681862	+	Rv0584	Rv0584	CDS	cell wall and cell processes	No	Possible conserved exported protein	None	NotExcluded
NC_000962.3	681884	684272	-	Rv0585c	Rv0585c	CDS	cell wall and cell processes	No	Probable conserved integral membrane protein	None	NotExcluded
NC_000962.3	684409	685132	+	Rv0586	mce2R	CDS	regulatory proteins	No	Probable transcriptional regulatory protein Mce2R (GntR-family)	None	NotExcluded
NC_000962.3	685128	685926	+	Rv0587	yrbE2A	CDS	virulence, detoxification, adaptation	No	Conserved hypothetical integral membrane protein YrbE2A	None	NotExcluded
NC_000962.3	685927	686815	+	Rv0588	yrbE2B	CDS	virulence, detoxification, adaptation	No	Conserved hypothetical integral membrane protein YrbE2B	None	NotExcluded
NC_000962.3	686820	688035	+	Rv0589	mce2A	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce2A	None	NotExcluded
NC_000962.3	688031	688859	+	Rv0590	mce2B	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce2B	None	NotExcluded
NC_000962.3	688807	689062	+	Rv0590A	Rv0590A	CDS	virulence, detoxification, adaptation	No	Mce-family related protein	None	NotExcluded
NC_000962.3	689058	690504	+	Rv0591	mce2C	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce2C	None	NotExcluded
NC_000962.3	690500	692027	+	Rv0592	mce2D	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce2D	None	NotExcluded
NC_000962.3	692023	693232	+	Rv0593	lprL	CDS	cell wall and cell processes	No	Possible Mce-family lipoprotein LprL (Mce-family lipoprotein Mce2E)	None	NotExcluded
NC_000962.3	693236	694787	+	Rv0594	mce2F	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce2F	None	NotExcluded
NC_000962.3	694838	695231	-	Rv0595c	vapC4	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC4	None	NotExcluded
NC_000962.3	695227	695485	-	Rv0596c	vapB4	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB4	None	NotExcluded
NC_000962.3	695667	696903	-	Rv0597c	Rv0597c	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	697153	697567	-	Rv0598c	vapC27	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC27. Contains PIN domain.	None	NotExcluded
NC_000962.3	697563	697800	-	Rv0599c	vapB27	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB27	None	NotExcluded
NC_000962.3	697903	698410	-	Rv0600c	Rv0600c	CDS	regulatory proteins	No	Two component sensor kinase [second part]	None	NotExcluded
NC_000962.3	698523	698994	-	Rv0601c	Rv0601c	CDS	regulatory proteins	No	Two component sensor kinase [first part]	None	NotExcluded
NC_000962.3	699037	699799	-	Rv0602c	tcrA	CDS	regulatory proteins	No	Two component DNA binding transcriptional regulatory protein TcrA	None	NotExcluded
NC_000962.3	699855	700167	+	Rv0603	Rv0603	CDS	cell wall and cell processes	No	Possible exported protein	None	NotExcluded
NC_000962.3	700238	701189	+	Rv0604	lpqO	CDS	cell wall and cell processes	No	Probable conserved lipoprotein LpqO	None	NotExcluded
NC_000962.3	701405	702014	+	Rv0605	Rv0605	CDS	insertion seqs and phages	No	Possible resolvase	None	InsertionSeqs_And_Phages
NC_000962.3	702015	702759	+	Rv0606	Rv0606	CDS	insertion seqs and phages	No	Possible transposase (fragment)	None	InsertionSeqs_And_Phages
NC_000962.3	702812	703199	+	Rv0607	Rv0607	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	703243	703489	+	Rv0608	vapB28	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB28	None	NotExcluded
NC_000962.3	703485	703887	+	Rv0609	vapC28	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC28. Contains PIN domain.	None	NotExcluded
NC_000962.3	703829	704057	+	Rv0609A	Rv0609A	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	704751	705909	-	Rv0610c	Rv0610c	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	705960	706344	-	Rv0611c	Rv0611c	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	706323	706929	+	Rv0612	Rv0612	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	706947	709515	-	Rv0613c	Rv0613c	CDS	conserved hypotheticals	No	Unknown protein	None	NotExcluded
NC_000962.3	709355	710348	+	Rv0614	Rv0614	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	710344	710587	+	Rv0615	Rv0615	CDS	cell wall and cell processes	No	Probable integral membrane protein	None	NotExcluded
NC_000962.3	710583	710850	-	Rv0616c	Rv0616c	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	710781	711009	+	Rv0616A	vapB29	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB29	None	NotExcluded
NC_000962.3	711005	711407	+	Rv0617	vapC29	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC29. Contains PIN domain.	None	NotExcluded
NC_000962.3	711535	712231	+	Rv0618	galTa	CDS	intermediary metabolism and respiration	No	Probable galactose-1-phosphate uridylyltransferase GalTa [first part]	None	NotExcluded
NC_000962.3	712173	712719	+	Rv0619	galTb	CDS	intermediary metabolism and respiration	No	Probable galactose-1-phosphate uridylyltransferase GalTb [second part]	None	NotExcluded
NC_000962.3	712715	713807	+	Rv0620	galK	CDS	intermediary metabolism and respiration	No	Probable galactokinase GalK (galactose kinase)	None	NotExcluded
NC_000962.3	714201	715266	+	Rv0621	Rv0621	CDS	cell wall and cell processes	No	Possible membrane protein	None	NotExcluded
NC_000962.3	715369	716317	+	Rv0622	Rv0622	CDS	cell wall and cell processes	No	Possible membrane protein	None	NotExcluded
NC_000962.3	716409	716664	+	Rv0623	vapB30	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB30	None	NotExcluded
NC_000962.3	716663	717059	+	Rv0624	vapC30	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC30. Contains PIN domain.	None	NotExcluded
NC_000962.3	717152	717893	-	Rv0625c	Rv0625c	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	718024	718285	+	Rv0626	vapB5	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB5	None	NotExcluded
NC_000962.3	718281	718689	+	Rv0627	vapC5	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC5	None	NotExcluded
NC_000962.3	718760	719912	-	Rv0628c	Rv0628c	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	720004	721732	-	Rv0629c	recD	CDS	information pathways	No	Probable exonuclease V (alpha chain) RecD (exodeoxyribonuclease V alpha chain) (exodeoxyribonuclease V polypeptide)	None	NotExcluded
NC_000962.3	721728	725013	-	Rv0630c	recB	CDS	information pathways	No	Probable exonuclease V (beta chain) RecB (exodeoxyribonuclease V beta chain)(exodeoxyribonuclease V polypeptide) (chi-specific endonuclease)	None	NotExcluded
NC_000962.3	725012	728306	-	Rv0631c	recC	CDS	information pathways	No	Probable exonuclease V (gamma chain) RecC (exodeoxyribonuclease V gamma chain)(exodeoxyribonuclease V polypeptide)	None	NotExcluded
NC_000962.3	728582	729278	-	Rv0632c	echA3	CDS	lipid metabolism	No	Probable enoyl-CoA hydratase EchA3 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	None	NotExcluded
NC_000962.3	729326	730166	-	Rv0633c	Rv0633c	CDS	cell wall and cell processes	No	Possible exported protein	None	NotExcluded
NC_000962.3	730319	731033	-	Rv0634c	Rv0634c	CDS	virulence, detoxification, adaptation	No	Possible glyoxalase II (hydroxyacylglutathione hydrolase) (GLX II)	None	NotExcluded
