lineage,position,gene_coordinate,allele_change,codon_number,codon_change,amino_acid_change,locus_Id,gene_name,mutation_type,essential,diagnostic_snp
lineage1.2.1,3400230,829,C/T,277,GCC/ACC,A/T,Rv3040c,0,nonsyn,nonessential,no
lineage1.2.1,3479545,375,C/A,125,GCC/GCA,A/A,Rv3111,moaC1,syn,essential,yes
lineage1.2.1,3504418,224,C/T,75,CCA/CTA,P/L,Rv3138,pflA,nonsyn,nonessential,no
lineage1.2.1,3561229,1944,C/A,648,GTG/GTT,V/V,Rv3193c,0,syn,nonessential,no
lineage1.2.1,3640557,15,T/C,5,GTT/GTC,V/V,Rv3261,fbiA,syn,nonessential,no
lineage1.2.1,3720792,0,T/G,0,./.,./.,0,0,inter,0,no
lineage1.2.1,3746702,6483,C/G,2161,TCG/TCC,S/S,Rv3347c,PPE55,syn,ND,no
lineage1.2.1,3746703,6482,G/C,2161,TCG/TGG,S/W,Rv3347c,PPE55,nonsyn,ND,no
lineage1.2.1,3746704,6481,A/T,2161,TCG/ACG,S/T,Rv3347c,PPE55,nonsyn,ND,no
lineage1.2.1,3765678,1425,C/T,475,CCG/CCA,P/P,Rv3350c,PPE56,syn,ND,no
lineage1.2.1,3930807,0,A/T,0,./.,./.,0,0,inter,0,no
lineage1.2.1,3974868,429,G/A,143,ACC/ACT,T/T,Rv3536c,hsaE,syn,nonessential,no
lineage1.2.1,4014376,1837,C/A,613,GAT/TAT,D/Y,Rv3573c,fadE34,nonsyn,nonessential,no
lineage1.2.1,4049254,727,G/A,243,CTG/TTG,L/L,Rv3608c,folP1,syn,essential,yes
lineage1.2.1,4113833,510,C/T,170,CCG/CCA,P/P,Rv3672c,0,syn,nonessential,no
lineage1.2.1,4123325,1410,C/T,470,GCC/GCT,A/A,Rv3682,ponA2,syn,nonessential,no
lineage1.2.1,4155903,827,G/T,276,GCG/GAG,A/E,Rv3711c,dnaQ,nonsyn,nonessential,no
lineage1.2.1,4163954,219,T/C,73,GAT/GAC,D/D,Rv3720,0,syn,nonessential,no
lineage1.2.1,4195938,161,G/A,54,TCG/TTG,S/L,Rv3745c,0,nonsyn,nonessential,no
lineage1.2.1,4244420,1188,G/C,396,GTG/GTC,V/V,Rv3794,embA,syn,essential,no
lineage1.2.1,4301972,818,C/T,273,CGC/CAC,R/H,Rv3827c,0,nonsyn,ND,no
lineage1.2.1,4338361,161,C/T,54,CGG/CAG,R/Q,Rv3862c,whiB6,nonsyn,nonessential,no
lineage1.2.1,4348418,1938,G/A,646,CTG/CTA,L/L,Rv3870,eccCa1,syn,essential,no
lineage1.2.2,5075,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1.2.2,10174,261,C/T,87,TCC/TCT,S/S,Rv0007,0,syn,nonessential,no
lineage1.2.2,20407,1234,G/A,412,CTG/TTG,L/L,Rv0017c,rodA,syn,nonessential,no
lineage1.2.2,32773,717,G/A,239,AAG/AAA,K/K,Rv0029,0,syn,nonessential,no
lineage1.2.2,77469,154,C/T,52,GGC/AGC,G/S,Rv0069c,sdaA,nonsyn,nonessential,no
lineage1.2.2,154051,1728,A/G,576,GGA/GGG,G/G,Rv0126,treS,syn,nonessential,no
lineage1.2.2,227386,509,G/T,170,GGC/GTC,G/V,Rv0194,0,nonsyn,nonessential,no
lineage1.2.2,483489,168,G/A,56,CTC/CTT,L/L,Rv0403c,mmpS1,syn,nonessential,no
lineage1.2.2,486511,781,T/C,261,TCC/CCC,S/P,Rv0405,pks6,nonsyn,nonessential,no
lineage1.2.2,540126,1366,C/T,456,GAT/AAT,D/N,Rv0450c,mmpL4,nonsyn,essential,no
lineage1.2.2,549875,201,C/T,67,CAC/CAT,H/H,Rv0458,0,syn,nonessential,no
lineage1.2.2,552361,336,G/A,112,CTG/CTA,L/L,Rv0461,0,syn,nonessential,no
lineage1.2.2,553220,607,C/T,203,CTT/TTT,L/F,Rv0462,lpdC,nonsyn,essential,no
lineage1.2.2,617729,237,G/A,79,GGG/GGA,G/G,Rv0527,ccdA,syn,essential,yes
lineage1.2.2,727440,867,C/T,289,CTG/CTA,L/L,Rv0631c,recC,syn,nonessential,no
lineage1.2.2,828422,283,T/C,95,TCG/CCG,S/P,Rv0736,rslA,nonsyn,essential,no
lineage1.2.2,866827,563,T/C,188,AAC/AGC,N/S,Rv0773c,ggtA,nonsyn,nonessential,no
lineage1.2.2,886348,299,A/G,100,ATC/ACC,I/T,Rv0792c,0,nonsyn,nonessential,no
lineage1.2.2,933126,906,G/A,302,GAC/GAT,D/D,Rv0837c,0,syn,nonessential,no
lineage1.2.2,942811,1384,C/A,462,GTG/TTG,V/L,Rv0846c,0,nonsyn,nonessential,no
lineage1.2.2,952984,160,G/A,54,GGC/AGC,G/S,Rv0856,0,nonsyn,nonessential,no
lineage1.2.2,1018811,1155,G/A,385,AAC/AAT,N/N,Rv0914c,0,syn,nonessential,no
lineage1.2.2,1020615,715,C/G,239,GGA/CGA,G/R,Rv0915c,PPE14,nonsyn,ND,no
lineage1.2.2,1033573,214,A/G,72,TGC/CGC,C/R,Rv0926c,0,nonsyn,nonessential,no
lineage1.2.2,1072628,1374,G/A,458,GCG/GCA,A/A,Rv0959,0,syn,nonessential,no
lineage1.2.2,1188232,235,G/A,79,GTC/ATC,V/I,Rv1066,0,nonsyn,nonessential,no
lineage1.2.2,1212753,1194,C/G,398,GGC/GGG,G/G,Rv1087,PE_PGRS21,syn,ND,no
lineage1.2.2,1214118,79,A/G,27,ACC/GCC,T/A,Rv1087A,0,nonsyn,nonessential,no
lineage1.2.2,1287639,312,C/T,104,CCC/CCT,P/P,Rv1161,narG,syn,nonessential,no
lineage1.2.2,1365430,87,G/C,29,CCG/CCC,P/P,Rv1222,rseA,syn,nonessential,no
lineage1.2.2,1370066,230,C/T,77,CGT/CAT,R/H,Rv1226c,0,nonsyn,nonessential,no
lineage1.2.2,1440771,0,T/G,0,./.,./.,0,0,inter,0,no
lineage1.2.2,1556886,916,G/A,306,GCC/ACC,A/T,Rv1383,carA,nonsyn,essential,no
lineage1.2.2,1677267,327,G/A,109,CAG/CAA,Q/Q,Rv1487,0,syn,nonessential,no
lineage1.2.2,1699088,807,C/T,269,TCG/TCA,S/S,Rv1508c,0,syn,nonessential,no
lineage1.2.2,1751918,1416,A/G,472,AAT/AAC,N/N,Rv1548c,PPE21,syn,ND,no
lineage1.2.2,1751919,1415,T/C,472,AAT/AGT,N/S,Rv1548c,PPE21,nonsyn,ND,no
lineage1.2.2,1751958,1376,G/C,459,GCC/GGC,A/G,Rv1548c,PPE21,nonsyn,ND,no
lineage1.2.2,1751960,1374,C/G,458,TCG/TCC,S/S,Rv1548c,PPE21,syn,ND,no
lineage1.2.2,1805690,38,G/A,13,CGT/CAT,R/H,Rv1606,hisI,nonsyn,essential,no
lineage1.2.2,1971673,319,G/A,107,CTG/TTG,L/L,Rv1745c,idi,syn,nonessential,no
lineage1.2.2,1980556,936,C/T,312,GAC/GAT,D/D,Rv1751,0,syn,nonessential,no
lineage1.2.2,1987206,491,A/G,164,GTC/GCC,V/A,Rv1755c,plcD,nonsyn,nonessential,no
lineage1.2.2,2047874,161,G/A,54,ACG/ATG,T/M,Rv1805c,0,nonsyn,nonessential,no
lineage1.2.2,2050382,462,T/C,154,TAT/TAC,Y/Y,Rv1808,PPE32,syn,ND,no
lineage1.2.2,2119694,1002,C/T,334,ATG/ATA,M/I,Rv1869c,0,nonsyn,nonessential,no
lineage1.2.2,2127504,1601,T/C,534,ATC/ACC,I/T,Rv1877,0,nonsyn,nonessential,no
lineage1.2.2,2181410,497,A/G,166,GTC/GCC,V/A,Rv1929c,0,nonsyn,nonessential,no
lineage1.2.2,2191428,402,C/T,134,CGC/CGT,R/R,Rv1938,ephB,syn,nonessential,no
lineage1.2.2,2245117,22,G/A,8,CGC/TGC,R/C,Rv1999c,0,nonsyn,nonessential,no
lineage1.2.2,2284848,794,G/A,265,GCA/GTA,A/V,Rv2039c,0,nonsyn,nonessential,no
lineage1.2.2,2330343,621,C/A,207,CGG/CGT,R/R,Rv2073c,0,syn,nonessential,no
lineage1.2.2,2332153,727,G/A,243,CGG/TGG,R/W,Rv2075c,0,nonsyn,nonessential,no
lineage1.2.2,2355363,1315,G/T,439,CGG/AGG,R/R,Rv2097c,pafA,syn,nonessential,no
lineage1.2.2,2420173,436,A/C,146,TTG/GTG,L/V,Rv2158c,murE,nonsyn,nonessential,no
lineage1.2.2,2432170,0,A/G,0,./.,./.,0,0,inter,0,no
lineage1.2.2,2501007,77,C/T,26,ACC/ATC,T/I,Rv2227,0,nonsyn,nonessential,no
lineage1.2.2,2512478,0,T/C,0,./.,./.,0,0,inter,0,no
lineage1.2.2,2565061,0,G/A,0,./.,./.,0,0,inter,0,no
lineage1.2.2,2577881,394,G/C,132,GAA/CAA,E/Q,Rv2306B,0,nonsyn,nonessential,no
lineage1.2.2,2583803,0,G/A,0,./.,./.,0,0,inter,0,no
lineage1.2.2,2751502,71,G/T,24,GCC/GAC,A/D,Rv2449c,0,nonsyn,nonessential,no
lineage1.2.2,2763624,151,G/A,51,CTG/TTG,L/L,Rv2461c,clpP1,syn,nonessential,no
lineage1.2.2,2801147,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1.2.2,2821709,0,G/A,0,./.,./.,0,0,inter,0,no
lineage1.2.2,3001053,440,T/C,147,ATT/ACT,I/T,Rv2684,arsA,nonsyn,nonessential,no
lineage1.2.2,3016943,86,G/C,29,GGC/GCC,G/A,Rv2702,ppgK,nonsyn,essential,no
lineage1.2.2,3049806,1619,C/T,540,CGG/CAG,R/Q,Rv2737c,recA,nonsyn,nonessential,no
lineage1.2.2,3052353,837,G/A,279,GCC/GCT,A/A,Rv2739c,0,syn,essential,yes
lineage1.2.2,3061362,1145,T/C,382,GAT/GGT,D/G,Rv2748c,ftsK,nonsyn,essential,no
lineage1.2.2,3183210,73,A/G,25,ACC/GCC,T/A,Rv2871,vapB43,nonsyn,nonessential,no
lineage1.2.2,3189154,244,T/C,82,AGC/GGC,S/G,Rv2878c,mpt53,nonsyn,ND,no
lineage1.2.2,3429876,375,G/C,125,TTC/TTG,F/L,Rv3064c,0,nonsyn,nonessential,no
lineage1.2.2,3458422,212,C/A,71,CCC/CAC,P/H,Rv3090,0,nonsyn,nonessential,no
lineage1.2.2,3470324,356,T/C,119,AAG/AGG,K/R,Rv3101c,ftsX,nonsyn,essential,no
lineage1.2.2,3470377,303,C/T,101,CAG/CAA,Q/Q,Rv3101c,ftsX,syn,essential,yes
lineage1.2.2,3517413,668,C/T,223,GCC/GTC,A/V,Rv3151,nuoG,nonsyn,nonessential,no
lineage1.2.2,3534263,133,G/C,45,CGG/GGG,R/G,Rv3165c,0,nonsyn,nonessential,no
lineage1.2.2,3677203,429,G/A,143,GTG/GTA,V/V,Rv3296,lhr,syn,ND,no
lineage1.2.2,3691767,1042,G/T,348,CTG/ATG,L/M,Rv3305c,amiA1,nonsyn,nonessential,no
lineage1.2.2,3740168,2607,G/A,869,GGC/GGT,G/G,Rv3345c,PE_PGRS50,syn,ND,no
lineage1.2.2,3771585,242,G/A,81,CGC/CAC,R/H,Rv3359,0,nonsyn,nonessential,no
lineage1.2.2,3824167,418,G/C,140,CGG/GGG,R/G,Rv3404c,0,nonsyn,nonessential,no
lineage1.2.2,3967966,979,C/T,327,GAG/AAG,E/K,Rv3531c,0,nonsyn,nonessential,no
lineage1.2.2,4096967,1028,T/G,343,CAC/CCC,H/P,Rv3659c,0,nonsyn,nonessential,no
lineage1.2.2,4121388,167,G/A,56,GCG/GTG,A/V,Rv3681c,whiB4,nonsyn,nonessential,no
lineage1.2.2,4176694,1822,G/A,608,GCG/ACG,A/T,Rv3728,0,nonsyn,nonessential,no
lineage1.2.2,4238120,189,G/A,63,CAG/CAA,Q/Q,Rv3792,aftA,syn,essential,yes
lineage1.2.2,4277450,880,G/A,294,GAT/AAT,D/N,Rv3812,PE_PGRS62,nonsyn,ND,no
lineage1.2.2,4285318,508,C/T,170,GAT/AAT,D/N,Rv3820c,papA2,nonsyn,nonessential,no
lineage1.2.2,4299514,92,C/T,31,GGC/GAC,G/D,Rv3825c,pks2,nonsyn,nonessential,no
lineage1.2.2,4326439,1035,G/T,345,AAC/AAA,N/K,Rv3854c,ethA,nonsyn,nonessential,no
lineage1.2.2,4356477,1471,G/A,491,GCC/ACC,A/T,Rv3877,eccD1,nonsyn,essential,no
lineage1.2.2,4356690,0,G/A,0,./.,./.,0,0,inter,0,no
lineage1.2.2,4360524,23,G/C,8,CCG/CGG,P/R,Rv3880c,espL,nonsyn,nonessential,no
lineage2,11820,0,C/G,0,./.,./.,0,0,inter,0,no
lineage2,14861,773,G/T,258,GGC/GTC,G/V,Rv0012,0,nonsyn,nonessential,no
lineage2,36008,1714,G/C,572,GAC/CAC,D/H,Rv0032,bioF2,nonsyn,nonessential,no
lineage2,37305,47,C/G,16,TCG/TGG,S/W,Rv0035,fadD34,nonsyn,nonessential,no
lineage2,63146,0,G/T,0,./.,./.,0,0,inter,0,no
lineage2,87468,334,C/T,112,GAG/AAG,E/K,Rv0078A,0,nonsyn,nonessential,no
lineage2,147262,510,G/T,170,GAC/GAA,D/E,Rv0120c,fusA2,nonsyn,nonessential,no
lineage2,230170,3293,C/T,1098,CCC/CTC,P/L,Rv0194,0,nonsyn,nonessential,no
lineage2,264129,63,G/A,21,ATG/ATA,M/I,Rv0221,0,nonsyn,nonessential,no
lineage2,282892,3960,C/T,1320,ACG/ACA,T/T,Rv0236c,aftD,syn,essential,no
lineage2,353309,227,G/A,76,AGC/AAC,S/N,Rv0290,eccD3,nonsyn,essential,no
lineage2,353365,283,G/A,95,GCC/ACC,A/T,Rv0290,eccD3,nonsyn,essential,no
lineage2,484596,620,C/T,207,CCG/CTG,P/L,Rv0404,fadD30,nonsyn,essential,no
lineage2,497491,810,G/A,270,GAC/GAT,D/D,Rv0411c,glnH,syn,essential,yes
lineage2,542014,0,C/G,0,./.,./.,0,0,inter,0,no
lineage2,628864,868,T/C,290,ACC/GCC,T/A,Rv0537c,0,nonsyn,nonessential,no
lineage2,640954,0,A/G,0,./.,./.,0,0,inter,0,no
lineage2,657142,329,C/T,110,CGC/CAC,R/H,Rv0565c,0,nonsyn,nonessential,no
lineage2,696917,0,G/T,0,./.,./.,0,0,inter,0,no
lineage2,707334,2182,T/C,728,ACC/GCC,T/A,Rv0613c,0,nonsyn,nonessential,no
lineage2,757139,1003,C/A,335,CGC/AGC,R/S,Rv0663,atsD,nonsyn,nonessential,no
lineage2,798355,1423,G/C,475,GCC/CCC,A/P,Rv0697,0,nonsyn,essential,no
lineage2,811753,12,C/T,4,CAC/CAT,H/H,Rv0715,rplX,syn,essential,yes
lineage2,940602,505,C/G,169,GGT/CGT,G/R,Rv0844c,narL,nonsyn,nonessential,no
lineage2,972980,727,C/T,243,GGC/AGC,G/S,Rv0874c,0,nonsyn,nonessential,no
lineage2,1022003,0,A/C,0,./.,./.,0,0,inter,0,no
lineage2,1102468,666,C/A,222,GGC/GGA,G/G,Rv0986,0,syn,nonessential,no
lineage2,1168776,453,T/G,151,AGA/AGC,R/S,Rv1046c,0,nonsyn,nonessential,no
lineage2,1175343,0,C/T,0,./.,./.,0,0,inter,0,no
lineage2,1201581,815,A/C,272,CAG/CCG,Q/P,Rv1076,lipU,nonsyn,nonessential,no
lineage2,1317655,2422,C/T,808,CTG/TTG,L/L,Rv1181,pks4,syn,nonessential,no
lineage2,1329234,72,G/A,24,GAC/GAT,D/D,Rv1186c,0,syn,essential,no
lineage2,1556787,817,T/C,273,TCG/CCG,S/P,Rv1383,carA,nonsyn,essential,no
lineage2,1577241,312,G/A,104,CCG/CCA,P/P,Rv1401,0,syn,nonessential,no
lineage2,1606673,288,G/T,96,GCG/GCT,A/A,Rv1430,PE16,syn,ND,no
lineage2,1643864,397,T/C,133,ACC/GCC,T/A,Rv1458c,0,nonsyn,nonessential,no
lineage2,1651308,593,A/G,198,GAA/GGA,E/G,Rv1463,0,nonsyn,essential,no
lineage2,1678706,155,A/C,52,AAG/ACG,K/T,Rv1489,0,nonsyn,nonessential,no
lineage2,1695796,151,C/T,51,GCC/ACC,A/T,Rv1505c,0,nonsyn,nonessential,no
lineage2,1711670,643,C/T,215,CGC/TGC,R/C,Rv1520,0,nonsyn,nonessential,no
lineage2,1722228,6182,A/T,2061,CTG/CAG,L/Q,Rv1527c,pks5,nonsyn,nonessential,no
lineage2,1831220,556,A/C,186,ACC/CCC,T/P,Rv1629,polA,nonsyn,essential,no
lineage2,1831226,562,A/G,188,AGG/GGG,R/G,Rv1629,polA,nonsyn,essential,no
lineage2,1831288,624,C/T,208,CCC/CCT,P/P,Rv1629,polA,syn,essential,no
lineage2,1834177,636,A/C,212,CGA/CGC,R/R,Rv1630,rpsA,syn,essential,yes
lineage2,1877744,2441,A/C,814,GAA/GCA,E/A,Rv1661,pks7,nonsyn,essential,no
lineage2,1967543,95,C/G,32,GGC/GCC,G/A,Rv1739c,0,nonsyn,nonessential,no
lineage2,1980652,1032,G/T,344,CCG/CCT,P/P,Rv1751,0,syn,nonessential,no
lineage2,2072313,362,C/A,121,ACA/AAA,T/K,Rv1826,gcvH,nonsyn,nonessential,no
lineage2,2172380,758,A/C,253,GAG/GCG,E/A,Rv1920,0,nonsyn,nonessential,no
lineage2,2185674,515,A/G,172,ATC/ACC,I/T,Rv1934c,fadE17,nonsyn,nonessential,no
lineage2,2267015,96,T/C,32,GCA/GCG,A/A,Rv2021c,0,syn,nonessential,no
lineage2,2268627,100,G/C,34,CAA/GAA,Q/E,Rv2023A,0,nonsyn,nonessential,no
lineage2,2288085,597,G/C,199,GCC/GCG,A/A,Rv2042c,0,syn,nonessential,no
lineage2,2294007,520,T/C,174,ACG/GCG,T/A,Rv2047c,0,nonsyn,nonessential,no
lineage2,2337179,1825,C/T,609,CAA/TAA,Q/*,Rv2079,0,nonsyn,nonessential,no
lineage2,2399734,1015,G/A,339,GGC/AGC,G/S,Rv2139,pyrD,nonsyn,nonessential,no
lineage2,2510350,0,C/G,0,./.,./.,0,0,inter,0,no
lineage2,2521428,686,A/G,229,GAC/GGC,D/G,Rv2247,accD6,nonsyn,essential,no
lineage2,2543395,882,T/C,294,GAA/GAG,E/E,Rv2268c,cyp128,syn,essential,yes
lineage2,2548700,952,C/T,318,CAC/TAC,H/Y,Rv2276,cyp121,nonsyn,nonessential,no
lineage2,2586076,1215,C/G,405,CGG/CGC,R/R,Rv2314c,0,syn,nonessential,no
lineage2,2673818,2020,C/G,674,GTG/CTG,V/L,Rv2383c,mbtB,nonsyn,nonessential,no
lineage2,2741209,501,G/A,167,CTG/CTA,L/L,Rv2443,dctA,syn,nonessential,no
lineage2,2789798,1225,G/T,409,CGG/AGG,R/R,Rv2483c,plsC,syn,essential,yes
lineage2,2833329,185,G/A,62,GCT/GTT,A/V,Rv2516c,0,nonsyn,essential,no
lineage2,2948230,329,G/A,110,GCC/GTC,A/V,Rv2621c,0,nonsyn,nonessential,no
lineage2,2969197,0,A/G,0,./.,./.,0,0,inter,0,no
lineage2,3010993,376,C/T,126,GGG/AGG,G/R,Rv2693c,0,nonsyn,nonessential,no
lineage2,3024021,457,C/A,153,CGG/AGG,R/R,Rv2711,ideR,syn,nonessential,no
lineage2,3033189,1431,G/A,477,CCC/CCT,P/P,Rv2721c,0,syn,nonessential,no
lineage2,3036826,466,C/T,156,GTG/ATG,V/M,Rv2724c,fadE20,nonsyn,nonessential,no
lineage2,3111476,348,C/T,116,TCG/TCA,S/S,Rv2802c,0,syn,nonessential,no
lineage2,3276703,6013,T/G,2005,ACT/CCT,T/P,Rv2940c,mas,nonsyn,nonessential,no
lineage2,3284855,1521,C/T,507,ATC/ATT,I/I,Rv2941,fadD28,syn,nonessential,no
lineage2,3304966,526,G/A,176,GGG/AGG,G/R,Rv2952,0,nonsyn,nonessential,no
lineage2,3487108,600,C/T,200,GCC/GCT,A/A,Rv3121,cyp141,syn,nonessential,no
lineage2,3542049,0,G/A,0,./.,./.,0,0,inter,0,no
lineage2,3577497,2704,C/T,902,GAA/AAA,E/K,Rv3202c,0,nonsyn,nonessential,no
lineage2,3597249,286,C/G,96,GGC/CGC,G/R,Rv3220c,0,nonsyn,nonessential,no
lineage2,3678249,1475,A/C,492,AAG/ACG,K/T,Rv3296,lhr,nonsyn,ND,no
lineage2,3743899,9286,G/A,3096,CTG/TTG,L/L,Rv3347c,PPE55,syn,ND,no
lineage2,3762013,5090,A/C,1697,CTC/CGC,L/R,Rv3350c,PPE56,nonsyn,ND,no
lineage2,3778396,0,C/T,0,./.,./.,0,0,inter,0,no
lineage2,3811672,0,G/T,0,./.,./.,0,0,inter,0,no
lineage2,3830349,1171,C/T,391,GCG/ACG,A/T,Rv3411c,guaB2,nonsyn,essential,no
lineage2,3970594,0,C/G,0,./.,./.,0,0,inter,0,no
lineage2,3979990,670,C/G,224,GTG/CTG,V/L,Rv3540c,ltp2,nonsyn,essential,no
lineage2,3993058,374,G/A,125,GGG/GAG,G/E,Rv3554,fdxB,nonsyn,nonessential,no
lineage2,4041581,1360,C/T,454,GCG/ACG,A/T,Rv3598c,lysS,nonsyn,essential,no
lineage2,4056693,0,G/T,0,./.,./.,0,0,inter,0,no
lineage2,4133316,799,A/T,267,ACG/TCG,T/S,Rv3691,0,nonsyn,nonessential,no
lineage2,4167656,473,A/G,158,ATG/ACG,M/T,Rv3722c,0,nonsyn,essential,no
lineage2,4174131,1177,G/C,393,GGA/CGA,G/R,Rv3727,0,nonsyn,nonessential,no
lineage2,4179832,1548,G/C,516,CAG/CAC,Q/H,Rv3729,0,nonsyn,nonessential,no
lineage2,4182387,630,G/C,210,GTG/GTC,V/V,Rv3731,ligC,syn,nonessential,no
lineage2,4205325,49,A/G,17,TGG/CGG,W/R,Rv3759c,proX,nonsyn,nonessential,no
lineage2,4254431,1518,G/A,506,GAC/GAT,D/D,Rv3799c,accD4,syn,essential,yes
lineage2,4284429,1397,G/A,466,CCA/CTA,P/L,Rv3820c,papA2,nonsyn,nonessential,no
lineage2,4290135,1395,C/T,465,CTG/CTA,L/L,Rv3823c,mmpL8,syn,nonessential,no
lineage2,4301075,1264,G/C,422,GAA/CAA,E/Q,Rv3826,fadD23,nonsyn,nonessential,no
lineage2,4308395,520,G/A,174,CTG/TTG,L/L,Rv3834c,serS,syn,essential,no
lineage2,4319985,0,G/C,0,./.,./.,0,0,inter,0,no
lineage2,4357804,1979,T/G,660,GAG/GCG,E/A,Rv3879c,espK,nonsyn,ND,no
lineage2,4362568,853,T/G,285,AGA/CGA,R/R,Rv3882c,eccE1,syn,essential,no
lineage2,4378504,1949,T/C,650,GAT/GGT,D/G,Rv3894c,eccC2,nonsyn,nonessential,no
lineage2.1,10972,0,C/T,0,./.,./.,0,0,inter,0,no
lineage2.1,32804,748,G/A,250,GCG/ACG,A/T,Rv0029,0,nonsyn,nonessential,no
lineage2.1,56738,1043,C/T,348,ACC/ATC,T/I,Rv0051,0,nonsyn,nonessential,no
lineage2.1,75247,0,T/C,0,./.,./.,0,0,inter,0,no
lineage2.1,90111,188,A/G,63,GAG/GGG,E/G,Rv0082,0,nonsyn,nonessential,no
lineage2.1,91649,1250,C/T,417,GCC/GTC,A/V,Rv0083,0,nonsyn,nonessential,no
lineage2.1,117726,13,G/A,5,GGG/AGG,G/R,Rv0102,0,nonsyn,essential,no
lineage2.1,141889,690,A/G,230,GCA/GCG,A/A,Rv0117,oxyS,syn,nonessential,no
lineage2.1,175994,295,G/A,99,GTA/ATA,V/I,Rv0149,0,nonsyn,nonessential,no
lineage2.1,200697,803,T/G,268,GTC/GGC,V/G,Rv0170,mce1B,nonsyn,essential,no
lineage2.1,203826,1351,G/A,451,GAG/AAG,E/K,Rv0172,mce1D,nonsyn,nonessential,no
lineage2.1,208782,366,A/C,122,ACA/ACC,T/T,Rv0177,0,syn,nonessential,no
lineage2.1,216469,201,C/T,67,GAC/GAT,D/D,Rv0186,bglS,syn,nonessential,no
lineage2.1,300111,693,C/G,231,GCG/GCC,A/A,Rv0248c,0,syn,nonessential,no
lineage2.1,308061,1487,C/T,496,GGC/GAC,G/D,Rv0256c,PPE2,nonsyn,ND,no
lineage2.1,309847,149,A/G,50,AAT/AGT,N/S,Rv0257,0,nonsyn,nonessential,no
lineage2.1,321558,228,C/T,76,CCC/CCT,P/P,Rv0267,narU,syn,nonessential,no
lineage2.1,324809,243,C/G,81,ATC/ATG,I/M,Rv0270,fadD2,nonsyn,nonessential,no
lineage2.1,340343,980,C/T,327,CCG/CTG,P/L,Rv0280,PPE3,nonsyn,ND,no
lineage2.1,344952,931,A/G,311,ACC/GCC,T/A,Rv0283,eccB3,nonsyn,essential,no
lineage2.1,360809,347,G/A,116,CCA/CTA,P/L,Rv0296c,0,nonsyn,nonessential,no
lineage2.1,367492,5273,C/G,1758,GGC/GCC,G/A,Rv0304c,PPE5,nonsyn,ND,no
lineage2.1,372987,2725,T/C,909,ACG/GCG,T/A,Rv0305c,PPE6,nonsyn,ND,no
lineage2.1,401678,1487,C/A,496,CCC/CAC,P/H,Rv0336,0,nonsyn,nonessential,no
lineage2.1,415129,80,A/G,27,GAC/GGC,D/G,Rv0345,0,nonsyn,nonessential,no
lineage2.1,434023,657,C/T,219,TCG/TCA,S/S,Rv0355c,PPE8,syn,ND,no
lineage2.1,475651,302,C/T,101,CCG/CTG,P/L,Rv0396,0,nonsyn,nonessential,no
lineage2.1,477737,820,C/T,274,GCC/ACC,A/T,Rv0399c,lpqK,nonsyn,essential,no
lineage2.1,489240,3510,A/G,1170,CCA/CCG,P/P,Rv0405,pks6,syn,nonessential,no
lineage2.1,506125,1040,C/T,347,GCC/GTC,A/V,Rv0419,lpqM,nonsyn,nonessential,no
lineage2.1,522053,540,C/A,180,GGC/GGA,G/G,Rv0434,0,syn,nonessential,no
lineage2.1,549671,0,T/C,0,./.,./.,0,0,inter,0,no
lineage2.1,550941,1267,A/G,423,ATC/GTC,I/V,Rv0458,0,nonsyn,nonessential,no
lineage2.1,565745,0,C/T,0,./.,./.,0,0,inter,0,no
lineage2.1,570641,103,C/A,35,CGT/AGT,R/S,Rv0482,murB,nonsyn,nonessential,no
lineage2.1,574139,156,C/T,52,GTC/GTT,V/V,Rv0485,0,syn,nonessential,no
lineage2.1,623842,1050,C/T,350,GGC/GGT,G/G,Rv0532,PE_PGRS6,syn,ND,no
lineage2.1,623851,1059,C/T,353,GGC/GGT,G/G,Rv0532,PE_PGRS6,syn,ND,no
lineage2.1,638899,18,C/A,6,CTG/CTT,L/L,Rv0547c,0,syn,nonessential,no
lineage2.1,643813,925,C/T,309,CCC/TCC,P/S,Rv0552,0,nonsyn,nonessential,no
lineage2.1,648465,507,A/G,169,GCA/GCG,A/A,Rv0556,0,syn,essential,yes
lineage2.1,662624,1330,A/G,444,ATC/GTC,I/V,Rv0570,nrdZ,nonsyn,nonessential,no
lineage2.1,669565,181,T/G,61,ATC/CTC,I/L,Rv0575c,0,nonsyn,nonessential,no
lineage2.1,709200,316,C/A,106,GGC/TGC,G/C,Rv0613c,0,nonsyn,nonessential,no
lineage2.1,717730,164,G/A,55,GCG/GTG,A/V,Rv0625c,0,nonsyn,nonessential,no
lineage2.1,724288,726,C/G,242,GAG/GAC,E/D,Rv0630c,recB,nonsyn,nonessential,no
lineage2.1,726857,1450,G/T,484,CGC/AGC,R/S,Rv0631c,recC,nonsyn,nonessential,no
lineage2.1,741458,1160,C/T,387,GGC/GAC,G/D,Rv0647c,0,nonsyn,nonessential,no
lineage2.1,749176,328,A/G,110,AAG/GAG,K/E,Rv0652,rplL,nonsyn,essential,no
lineage2.1,793696,362,C/G,121,GCC/GGC,A/G,Rv0694,lldD1,nonsyn,nonessential,no
lineage2.1,798769,0,C/G,0,./.,./.,0,0,inter,0,no
